session,accumulated_power,activity_type,cadence,distance,enhanced_speed,heart_rate,power,speed,timestamp,date
Session_2023-12-05,139.0,cycling,74.0,3.58,3.583,90,139.0,3.583,2023-12-05 12:30:35,2023-12-05
Session_2023-12-05,268.0,cycling,78.0,7.5,3.917,91,129.0,3.917,2023-12-05 12:30:36,2023-12-05
Session_2023-12-05,377.0,cycling,80.0,11.72,4.222,93,109.0,4.222,2023-12-05 12:30:37,2023-12-05
Session_2023-12-05,468.0,cycling,84.0,16.25,4.528,93,91.0,4.528,2023-12-05 12:30:38,2023-12-05
Session_2023-12-05,558.0,cycling,88.0,21.08,4.833,95,90.0,4.833,2023-12-05 12:30:39,2023-12-05
Session_2023-12-05,648.0,cycling,88.0,26.25,5.167,96,90.0,5.167,2023-12-05 12:30:40,2023-12-05
Session_2023-12-05,739.0,cycling,91.0,31.72,5.472,96,91.0,5.472,2023-12-05 12:30:41,2023-12-05
Session_2023-12-05,825.0,cycling,96.0,37.5,5.778,96,86.0,5.778,2023-12-05 12:30:42,2023-12-05
Session_2023-12-05,915.0,cycling,83.0,43.5,6.0,96,90.0,6.0,2023-12-05 12:30:43,2023-12-05
Session_2023-12-05,1007.0,cycling,84.0,49.72,6.222,96,92.0,6.222,2023-12-05 12:30:44,2023-12-05
Session_2023-12-05,1101.0,cycling,86.0,56.96,7.242,96,94.0,7.242,2023-12-05 12:30:45,2023-12-05
Session_2023-12-05,1198.0,cycling,87.0,64.31,7.344,96,97.0,7.344,2023-12-05 12:30:46,2023-12-05
Session_2023-12-05,1291.0,cycling,89.0,71.72,7.414,96,93.0,7.414,2023-12-05 12:30:47,2023-12-05
Session_2023-12-05,1383.0,cycling,89.0,79.18,7.461,96,92.0,7.461,2023-12-05 12:30:48,2023-12-05
Session_2023-12-05,1476.0,cycling,88.0,86.7,7.519,97,93.0,7.519,2023-12-05 12:30:49,2023-12-05
Session_2023-12-05,1561.0,cycling,91.0,94.24,7.539,98,85.0,7.539,2023-12-05 12:30:50,2023-12-05
Session_2023-12-05,1648.0,cycling,90.0,101.82,7.578,98,87.0,7.578,2023-12-05 12:30:51,2023-12-05
Session_2023-12-05,1746.0,cycling,92.0,109.48,7.658,98,98.0,7.658,2023-12-05 12:30:52,2023-12-05
Session_2023-12-05,1855.0,cycling,80.0,117.27,7.792,99,109.0,7.792,2023-12-05 12:30:53,2023-12-05
Session_2023-12-05,1968.0,cycling,85.0,125.18,7.911,99,113.0,7.911,2023-12-05 12:30:54,2023-12-05
Session_2023-12-05,2084.0,cycling,83.0,133.23,8.05,101,116.0,8.05,2023-12-05 12:30:55,2023-12-05
Session_2023-12-05,2202.0,cycling,85.0,141.43,8.197,99,118.0,8.197,2023-12-05 12:30:56,2023-12-05
Session_2023-12-05,2312.0,cycling,86.0,149.69,8.267,99,110.0,8.267,2023-12-05 12:30:57,2023-12-05
Session_2023-12-05,2431.0,cycling,87.0,158.07,8.378,99,119.0,8.378,2023-12-05 12:30:58,2023-12-05
Session_2023-12-05,2557.0,cycling,90.0,166.59,8.519,99,126.0,8.519,2023-12-05 12:30:59,2023-12-05
Session_2023-12-05,2645.0,cycling,89.0,175.09,8.494,99,88.0,8.494,2023-12-05 12:31:00,2023-12-05
Session_2023-12-05,2740.0,cycling,88.0,183.61,8.519,100,95.0,8.519,2023-12-05 12:31:01,2023-12-05
Session_2023-12-05,2844.0,cycling,90.0,192.17,8.561,100,104.0,8.561,2023-12-05 12:31:02,2023-12-05
Session_2023-12-05,2944.0,cycling,89.0,200.73,8.561,100,100.0,8.561,2023-12-05 12:31:03,2023-12-05
Session_2023-12-05,3037.0,cycling,91.0,209.29,8.561,100,93.0,8.561,2023-12-05 12:31:04,2023-12-05
Session_2023-12-05,3129.0,cycling,89.0,217.84,8.553,100,92.0,8.553,2023-12-05 12:31:05,2023-12-05
Session_2023-12-05,3226.0,cycling,89.0,226.38,8.536,100,97.0,8.536,2023-12-05 12:31:06,2023-12-05
Session_2023-12-05,3322.0,cycling,89.0,234.9,8.519,100,96.0,8.519,2023-12-05 12:31:07,2023-12-05
Session_2023-12-05,3407.0,cycling,89.0,243.36,8.461,100,85.0,8.461,2023-12-05 12:31:08,2023-12-05
Session_2023-12-05,3491.0,cycling,91.0,251.79,8.433,99,84.0,8.433,2023-12-05 12:31:09,2023-12-05
Session_2023-12-05,3584.0,cycling,87.0,260.24,8.453,99,93.0,8.453,2023-12-05 12:31:10,2023-12-05
Session_2023-12-05,3678.0,cycling,88.0,268.69,8.444,98,94.0,8.444,2023-12-05 12:31:11,2023-12-05
Session_2023-12-05,3770.0,cycling,89.0,277.1,8.414,97,92.0,8.414,2023-12-05 12:31:12,2023-12-05
Session_2023-12-05,3848.0,cycling,89.0,285.47,8.364,96,78.0,8.364,2023-12-05 12:31:13,2023-12-05
Session_2023-12-05,3930.0,cycling,86.0,293.79,8.322,95,82.0,8.322,2023-12-05 12:31:14,2023-12-05
Session_2023-12-05,4002.0,cycling,87.0,302.01,8.222,94,72.0,8.222,2023-12-05 12:31:15,2023-12-05
Session_2023-12-05,4077.0,cycling,89.0,310.19,8.181,94,75.0,8.181,2023-12-05 12:31:16,2023-12-05
Session_2023-12-05,4163.0,cycling,84.0,318.33,8.133,95,86.0,8.133,2023-12-05 12:31:17,2023-12-05
Session_2023-12-05,4232.0,cycling,85.0,326.36,8.031,95,69.0,8.031,2023-12-05 12:31:18,2023-12-05
Session_2023-12-05,4306.0,cycling,85.0,334.33,7.975,95,74.0,7.975,2023-12-05 12:31:19,2023-12-05
Session_2023-12-05,4395.0,cycling,84.0,342.28,7.95,96,89.0,7.95,2023-12-05 12:31:20,2023-12-05
Session_2023-12-05,4509.0,cycling,85.0,350.37,8.089,96,114.0,8.089,2023-12-05 12:31:21,2023-12-05
Session_2023-12-05,4658.0,cycling,85.0,358.72,8.347,96,149.0,8.347,2023-12-05 12:31:22,2023-12-05
Session_2023-12-05,4787.0,cycling,88.0,367.27,8.553,95,129.0,8.553,2023-12-05 12:31:23,2023-12-05
Session_2023-12-05,4914.0,cycling,92.0,375.93,8.656,96,127.0,8.656,2023-12-05 12:31:24,2023-12-05
Session_2023-12-05,5020.0,cycling,90.0,384.63,8.7,95,106.0,8.7,2023-12-05 12:31:25,2023-12-05
Session_2023-12-05,5124.0,cycling,93.0,393.35,8.725,95,104.0,8.725,2023-12-05 12:31:26,2023-12-05
